id;code;libelle;emplacement;actif;boutique_id
1;interchange couch obesity;below;behest carefully moisten;false;1
2;accessorise best ouch;yowza miscalculate viciously;next unkempt worriedly;true;2
3;fraudster excepting;indelible aboard;iterate lest peaceful;false;3
4;empty;drug furiously;for gee;true;4
5;degenerate unless over;beyond cheerfully disappointment;although curiously;false;5
6;wedge;sun abnormally;electrify institute usable;false;6
7;although so pneumonia;needily whoever whether;though palatable;false;7
8;silently;what including;which negative;false;8
9;gosh minus;toward retrospectivity;including;false;9
10;ham whoa boo;whoa;brr lustrous brown;false;10
11;whether inspection pleased;ha short-term;despite;true;11
12;exaggerate;notwithstanding that;supplier so;true;12
13;limping over private;book improbable;anenst;true;13
14;wildly submissive;poorly kookily;emulsify energetic;false;14
15;obligation elevator independen;when dock which;cap;false;15
16;urgently border but;seriously towards;uh-huh;true;16
17;anxiously;above times;however festival;true;17
18;crazy buttery pillow;pfft;until glaring bah;true;18
19;midst nearly;behind;factorize ditch;true;19
20;zowie;striking huzzah gape;luck whenever;false;20
21;unlike excited provision;righteously up concerning;witty;false;21
22;yowza incidentally against;yogurt;inure infamous;true;22
23;straight down;the;gah;true;23
24;willfully where thoughtfully;rationale pace notwithstanding;about;false;24
25;who swordfish;after;physical;true;25
26;detain;kosher minus;accidentally meatloaf;true;26
27;yet;stunning drat hm;whine jet deploy;true;27
28;failing versus mountain;rejigger judgementally;valuable;false;28
29;pleasant obligation;crocodile brr whoever;pinstripe patiently;true;29
30;enthusiastically;afore hydrolyze whisper;briefly make apud;false;30
