id;code_scanne;ecran_origine;date_scan;commentaire;resolu;boutique_id
1;memorise;quantify;2026-05-04T15:19:26;meanwhile;true;1
2;dash patroller unabashedly;tenant anenst;2026-05-05T09:48:04;er;true;2
3;instead uh-huh;tribe circumnavigate what;2026-05-05T06:16:17;kiss;true;3
4;arraign;blink given;2026-05-05T03:17:32;till;false;4
5;sweet upbeat;amid shore inasmuch;2026-05-04T20:41:57;what;false;5
6;satisfy relaunch incidentally;cheap;2026-05-04T12:34:27;fencing willfully;false;6
7;rim floodlight;especially;2026-05-05T08:40:52;poppy who;true;7
8;useless tray sonnet;heighten ick;2026-05-05T04:12:09;knife now yahoo;true;8
9;after yowza;over vivaciously doing;2026-05-05T08:14:00;until;false;9
10;happy-go-lucky athwart ew;reasonable;2026-05-05T07:34:39;zany bathhouse plus;false;10
11;step-mother;when;2026-05-04T22:21:19;after misfire;false;11
12;degrease ick dowse;reborn abaft drat;2026-05-04T13:08:06;during usefully;false;12
13;jovially;hydrolyze geez;2026-05-05T05:23:05;mature fraternise;false;13
14;breastplate coaxingly gosh;scorn absentmindedly hungrily;2026-05-04T20:06:05;pasta doubter spear;true;14
15;or;beneath whenever jovially;2026-05-04T21:58:08;geez nor truthfully;true;15
16;wolf meatloaf;ack exasperation;2026-05-05T04:45:42;traffic meanwhile kiddingly;false;16
17;while sock designation;consign beneath;2026-05-04T15:16:43;yuck unto;true;17
18;yowza pish so;scarily strategy condense;2026-05-05T04:52:41;yuck;false;18
19;blind promptly although;hello;2026-05-04T11:20:13;blah rationalize;true;19
20;obsess however after;between;2026-05-05T05:55:44;gracious willfully yin;true;20
21;eek yet;boohoo afore;2026-05-04T21:10:33;er fluffy;true;21
22;lucky huzzah bustling;who;2026-05-05T09:19:52;past plan silt;true;22
23;gah;although;2026-05-04T23:45:22;vision quaver promptly;true;23
24;tiny;why;2026-05-04T12:23:59;fooey and;false;24
25;weary;verbally because boohoo;2026-05-05T02:57:39;frizz;true;25
26;blah;until likewise;2026-05-04T18:00:31;sushi except;true;26
27;since schedule however;along;2026-05-04T16:23:08;since probable;true;27
28;immediate unwelcome;that rebuke outdo;2026-05-05T01:26:34;without because;false;28
29;reword provided;querulous;2026-05-05T07:09:35;clumsy despite;false;29
30;telescope excess;monstrous;2026-05-04T12:27:03;although gee but;false;30
