id;code;libelle;statut;famille_article_id
1;political;cute pigpen uh-huh;ACTIF;1
2;boohoo gah role;diligently;INACTIF;2
3;or lounge;hoof ingratiate;ACTIF;3
4;dreamily;lobotomise voluminous;INACTIF;4
5;rim prance;free disadvantage;ACTIF;5
6;trouser turbulent along;before immediately convoke;INACTIF;6
7;windy;ha round;INACTIF;7
8;almost midst;baseboard horn;INACTIF;8
9;past lively;zowie drat floodlight;SUSPENDU;9
10;um regarding;pricey ring;SUSPENDU;10
11;boo indeed;coexist;ACTIF;11
12;husky;thump softly;SUSPENDU;12
13;fly phew allocation;boohoo private;ACTIF;13
14;what abnegate confound;singing made-up gracefully;ACTIF;14
15;collaborate aw defenseless;scarily;SUSPENDU;15
16;naturally geez;planula marksman;SUSPENDU;16
17;unless incidentally once;delirious;SUSPENDU;17
18;all meanwhile tune;haversack digital;ACTIF;18
19;softly necessary gadzooks;furthermore;SUSPENDU;19
20;department ski;coaxingly;SUSPENDU;20
21;dimly secret and;and;INACTIF;21
22;aw nasalise;nocturnal;INACTIF;22
23;white;energetically;SUSPENDU;23
24;for and;diligently loudly oof;ACTIF;24
25;eventually ferociously promptl;sharply midst;ACTIF;25
26;pace because;concerned beneath as;ACTIF;26
27;rectangular please;whether instantly;ACTIF;27
28;rim flawed;following;INACTIF;28
29;effector longingly rosy;aside though gadzooks;INACTIF;29
30;brr but;excluding;SUSPENDU;30
